,学生ID,生源省市,性别,民族,政治面貌.群众,政治面貌.团员,政治面貌.预备党员,裸眼视力(左),裸眼视力(右),身高,体重,考生类型,外语语种,学科类型.理工,学科类型.文史,学科类型.文理综合,年份,成绩,学部.理学部,学部.经济与管理学部,学部.人文学部,学部.社会科学学部,学部.信息与工程科学部,优惠加分,大类,大类.普通,大类.自招,大类.国防定向等,大类.筑梦,大类.特长生,高三排名,成绩方差,专利数,社会活动,获奖数,竞赛成绩
608,0ef88bdeba62aec7634a,北京市,0,1,0,1,0,1,1.2,187,80,城镇应届,1,0,1,0,1,680,0,1,0,0,0,0,普通,1,0,0,0,0,0.036065574,-0.201925428,0,0.028571429,0.153846154,0
621,244bd1308aa654f0e328,北京市,0,1,0,1,0,,,183,72,城镇应届,1,1,0,0,1,668,1,0,0,0,0,1,博雅,0,1,0,0,0,0.003333333,-0.246286857,0,0.257142857,0.384615385,0
631,deed05ae239e7a806d8b,北京市,0,1,0,1,0,4.5,4.5,174,61,城镇应届,1,1,0,0,1,665,1,0,0,0,0,5,自主,0,1,0,0,0,0.816326531,8.323468538,0,0.114285714,0.333333333,0
639,a7a68db96ff0f48f55c1,北京市,0,1,0,1,0,,,176,67,城镇应届,1,1,0,0,1,670,0,0,0,0,1,1,博雅,0,1,0,0,0,0.203508772,2.359830845,0,0.028571429,0.256410256,0
643,47257b6ef34aee4154cb,北京市,1,1,0,1,0,4.2,4.2,160,58,城镇应届,1,0,1,0,1,671,0,0,0,1,0,1,博雅,0,1,0,0,0,0.096732026,-0.230614361,0,0.057142857,0.051282051,0
651,4e9da65eb160dcaae53b,北京市,0,1,0,1,0,4.2,4.2,178,76,城镇应届,1,1,0,0,1,685,1,0,0,0,0,0,普通,1,0,0,0,0,0.007894737,-0.253197427,0,0.142857143,0.435897436,0.172413793
652,81678131b81300b6e9f8,北京市,0,1,0,1,0,4.4,4.2,170,67,城镇应届,1,1,0,0,1,625,1,0,0,0,0,5,自主,0,1,0,0,0,0.001111111,-0.169589259,0,0,0.230769231,0.137931034
653,57b35932b4bf10c70820,北京市,1,1,0,1,0,5,4.3,159,51,城镇应届,1,0,1,0,1,681,0,1,0,0,0,0,普通,1,0,0,0,0,0.035443038,-0.251473212,0,0.285714286,0.076923077,0
736,78bbf799d8ca3250f25e,北京市,1,1,0,1,0,4.7,4.5,167,61,城镇应届,1,1,0,0,1,682,1,0,0,0,0,0,普通,1,0,0,0,0,0.084090909,-0.139824704,0,0.314285714,0.282051282,0
737,2dd92678fe82da660f9d,北京市,0,1,0,1,0,4.2,4.4,190,81,城镇应届,1,1,0,0,1,679,0,0,0,0,1,0,普通,1,0,0,0,0,0.005,-0.262013025,0,0.057142857,0.102564103,0
745,ecf500c54dca0abbbc1a,北京市,0,1,1,0,0,4.4,4.2,172,65,城镇应届,1,1,0,0,1,680,1,0,0,0,0,2,自主,0,1,0,0,0,0.001282051,-0.262209361,0,0.142857143,0.179487179,0.137931034
782,f99729a8f6ce1e246f47,北京市,1,0,0,1,0,4.3,4.3,168,54,城镇应届,1,1,0,0,1,678,0,0,0,0,0,0,普通,1,0,0,0,0,0.04172851,1.18E-15,0,0,0.051282051,0
809,9ef7d1a8e18ca6e43c9e,北京市,1,1,0,1,0,4.5,4.3,158,43,城镇应届,1,1,0,0,1,670,1,0,0,0,0,1,博雅,0,1,0,0,0,0.04172851,1.18E-15,0,0.171428571,0.153846154,0
847,81e83c9744dff69fda9a,北京市,1,1,0,1,0,4.4,4.3,168,65,城镇应届,1,1,0,0,1,677,1,0,0,0,0,1,博雅,0,1,0,0,0,0.041758242,-0.234458224,0,0.142857143,0.025641026,0
